"id","country_id","name","name_en","acase_code","del","ResortFeeRu","ResortFeeEn"
"480","27","Андалусия","Andalucía","0","0",NULL,NULL
"483","27","Арагон","Aragon","0","0",NULL,NULL
"486","27","Астурия","Asturias","0","0",NULL,NULL
"489","27","Балеарские острова","Balearic Islands","0","0",NULL,NULL
"492","27","Страна Басков","Basque Country","0","0",NULL,NULL
"495","27","Канарские острова","Canary Islands","0","0",NULL,NULL
"498","27","Кантабрия","Cantabria","0","0",NULL,NULL
"501","27","Кастилия-Ла-Манча","Castilla-La Mancha","0","0",NULL,NULL
"504","27","Кастилия и Леон","Castile and Leon","0","0",NULL,NULL
"507","27","Каталония","Catalonia","0","0",NULL,NULL
"510","27","Галиcия","Galicia","0","0",NULL,NULL
"513","27","Алава","Alava Province","0","0",NULL,NULL
"516","27","Провинция Аликанте","Alicante Province","0","0",NULL,NULL
"519","27","Провинция Авила","Avila Province","0","0",NULL,NULL
"522","27","Провинция Барселона","Barcelona Province","0","0",NULL,NULL
"525","27",,"Burgos Province","0","0",NULL,NULL
"528","27",,"Cadiz Province","0","0",NULL,NULL
"531","27",,"Ciudad Real Province","0","0",NULL,NULL
"534","27",,"Cordoba Province","0","0",NULL,NULL
"537","27","Фуэртевентура","Fuerteventura","0","0",NULL,NULL
"540","27","Провинция Жирона","Girona Province","0","0",NULL,NULL
"543","27","Гран-Канария","Gran Canaria","0","0",NULL,NULL
"546","27",,"Granada Province","0","0",NULL,NULL
"549","27",,"Guadalajara Province","0","0",NULL,NULL
"552","27",,"Guipuzcoa","0","0",NULL,NULL
"555","27","Муниципалитет Уэльва","Huelva Province","0","0",NULL,NULL
"558","27",,"Jaén","0","0",NULL,NULL
"561","27","Лансароте","Lanzarote","0","0",NULL,NULL
"564","27","Ла-Риоха","La Rioja","0","0",NULL,NULL
"567","27","Леон","Province of Leon","0","0",NULL,NULL
"570","27",,"Lleida","0","0",NULL,NULL
"573","27",,"Lugo Province","0","0",NULL,NULL
"576","27","Провинция Мадрид","Community of Madrid","0","0",NULL,NULL
"579","27","Провинция Малага","Malaga Province","0","0",NULL,NULL
"582","27","Майорка","Majorca","0","0",NULL,NULL
"585","27","Мурсия","Murcia","0","0",NULL,NULL
"588","27","Наварра","Navarre","0","0",NULL,NULL
"591","27",,"Ourense","0","0",NULL,NULL
"594","27","Паленсия","Palencia","0","0",NULL,NULL
"597","27",,"Pontevedra Province","0","0",NULL,NULL
"600","27",,"Salamanca Province","0","0",NULL,NULL
"603","27","Провинция Севилья","Seville Province","0","0",NULL,NULL
"606","27",,"Soria","0","0",NULL,NULL
"609","27",,"Tarragona Province","0","0",NULL,NULL
"612","27","Тенерифе","Tenerife","0","0",NULL,NULL
"615","27",,"Toledo Province","0","0",NULL,NULL
"618","27",,"Valencia Province","0","0",NULL,NULL
"621","27",,"Valladolid Province","0","0",NULL,NULL
"624","27",,"Vizcaya","0","0",NULL,NULL
"627","27",,"Provincia de Zamora","0","0",NULL,NULL
"630","27",,"Zaragoza Province","0","0",NULL,NULL
"633","12","Восточная Финляндия","Eastern Finland","0","0",NULL,NULL
"636","12","Южная Финляндия","Southern Finland","0","0",NULL,NULL
"639","12","Западная Финляндия","Western Finland","0","0",NULL,NULL
"642","11","Эльзас","Alsace","0","0",NULL,NULL
"645","11","Аквитания","Aquitaine","0","0",NULL,NULL
"648","11","Овернь","Auvergne","0","0",NULL,NULL
"651","11","Бретань","Brittany","0","0",NULL,NULL
"654","11","Бургундия","Burgundy","0","0",NULL,NULL
"657","11","Центр","Centre","0","0",NULL,NULL
"660","11","Шампань - Арденны","Champagne - Ardenne","0","0",NULL,NULL
"663","11","Франш-Конте","Franche-Comté","0","0",NULL,NULL
"666","11","Лангедок-Руссильон","Languedoc-Roussillon","0","0",NULL,NULL
"669","11","Лимузен","Limousin","0","0",NULL,NULL
"672","11","Лотарингия","Lorraine","0","0",NULL,NULL
"675","11","Юг-Пиренеи","Midi-Pyrénées","0","0",NULL,NULL
"678","11","Нор-Па-де-Кале","Nord-Pas-de-Calais","0","0",NULL,NULL
"681","11","Земли Луары","Pays de la Loire","0","0",NULL,NULL
"684","11","Пикардия","Picardy","0","0",NULL,NULL
"687","11","Прованс — Альпы — Лазурный Берег","Provence-Alpes-Côte d'Azur","0","0",NULL,NULL
"690","11","Рона-Альпы","Rhône-Alps","0","0",NULL,NULL
"693","11","Нормандия","Normandy","0","0",NULL,NULL
"696","61","Острова Саронического залива - Аттика","Attica-Saronic Gulf Islands","0","0",NULL,NULL
"699","61","Центральная Эллада","Central Greece","0","0",NULL,NULL
"702","61","Киклады","Cyclades","0","0",NULL,NULL
"705","61","Додеканес","Dodecanese","0","0",NULL,NULL
"708","61",,"Evia-Sporades","0","0",NULL,NULL
"711","61","Ионические острова","Ionian Islands","0","0",NULL,NULL
"714","61",,"Macedonia","0","0",NULL,NULL
"717","61",,"Northern Aegean Islands","0","0",NULL,NULL
"720","61",,"Peloponnese (for supply target only)","0","0",NULL,NULL
"723","59","Центральная Венгрия","Central Hungary","0","0",NULL,NULL
"726","59","Западная Трансданубия","Western Transdanubia","0","0",NULL,NULL
"729","59","Центральная Трансданубия","Central Transdanubia","0","0",NULL,NULL
"732","59","Южная Трансданубия","Southern Transdanubia","0","0",NULL,NULL
"735","59","Балатон","Lake Balaton","0","0",NULL,NULL
"738","59","Северная Венгрия","Northern Hungary","0","0",NULL,NULL
"741","59","Северный Альфёльд","Northern Great Plain","0","0",NULL,NULL
"744","59",,"Southern Great Plain","0","0",NULL,NULL
"747","121","Бали","Bali","0","0",NULL,NULL
"750","121","Ява","Java","0","0",NULL,NULL
"753","121","Сулавеси","Sulawesi","0","0",NULL,NULL
"756","121","Калимантан","Kalimantan","0","0",NULL,NULL
"759","121","Ломбок","Lombok","0","0",NULL,NULL
"762","121","Суматра","Sumatra","0","0",NULL,NULL
"765","52",,"Connacht","0","0",NULL,NULL
"768","52",,"Leinster","0","0",NULL,NULL
"771","52",,"Munster","0","0",NULL,NULL
"774","52",,"Ulster","0","0",NULL,NULL
"777","52","Каван","Cavan County","0","0",NULL,NULL
"780","52","Графство Корк","County Cork","0","0",NULL,NULL
"783","52","Донегал","Donegal County","0","0",NULL,NULL
"786","52","Дублин","Dublin County","0","0",NULL,NULL
"789","52","Голуэй","Galway County","0","0",NULL,NULL
"792","52","Керри","Kerry","0","0",NULL,NULL
"795","52","Килдэр","Kildare County","0","0",NULL,NULL
"798","52","Мейо","Mayo","0","0",NULL,NULL
"801","52","Роскоммон","Roscommon County","0","0",NULL,NULL
"804","52","Уиклоу","Wicklow County","0","0",NULL,NULL
"807","49",,"Central Zone","0","0",NULL,NULL
"810","49",,"East Zone","0","0",NULL,NULL
"813","49","Северная зона","North Zone","0","0",NULL,NULL
"816","49",,"South Zone","0","0",NULL,NULL
"819","49",,"Jammu & Kashmir Ski","0","0",NULL,NULL
"822","49",,"Punjab, North","0","0",NULL,NULL
"825","49",,"Uttaranchal, North","0","0",NULL,NULL
"828","49",,"Haryana, North","0","0",NULL,NULL
"831","49",,"Rajasthan, North","0","0",NULL,NULL
"834","49",,"Uttar Pradesh, North","0","0",NULL,NULL
"837","49",,"Jharkhand, East","0","0",NULL,NULL
"840","49",,"West Bengal, East","0","0",NULL,NULL
"843","49",,"Meghalaya, East","0","0",NULL,NULL
"846","49",,"Tripura, East","0","0",NULL,NULL
"849","49",,"Mizoram","0","0",NULL,NULL
"852","49",,"Manipur","0","0",NULL,NULL
"855","49",,"Nagaland","0","0",NULL,NULL
"858","49",,"Assam, East","0","0",NULL,NULL
"861","49",,"Arunachal Pradesh","0","0",NULL,NULL
"864","49",,"Gujarat, Central","0","0",NULL,NULL
"867","49",,"Bhopal, Central","0","0",NULL,NULL
"870","49",,"Chhattisgarh","0","0",NULL,NULL
"873","49",,"Orissa, Central","0","0",NULL,NULL
"876","49",,"Maharashtra, Central","0","0",NULL,NULL
"879","49",,"Goa South (deleted)","0","0",NULL,NULL
"882","49",,"Karnataka, South","0","0",NULL,NULL
"885","49",,"Andhra Pradesh, South","0","0",NULL,NULL
"888","49",,"Mahe, South","0","0",NULL,NULL
"891","49",,"Kerala, South","0","0",NULL,NULL
"894","49",,"Tamilnadu, South","0","0",NULL,NULL
"897","23","Калабрия","Calabria","0","0",NULL,NULL
"900","23","Кампания","Campania","0","0",NULL,NULL
"903","23","Эмилия-Романья","Emilia-Romagna","0","0",NULL,NULL
